@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
88,'2019/05/28 21:03:42:602',1,0.96512,0.097231,0.638233,0.434932,0.326098,0.00756,0.143982,0.158388,0.212384,0.293937,0.164774,0.186684,0.284736,1,0,0,0
89,'2019/05/28 21:03:42:619',1,0.885515,0.011397,0.596904,0.305688,0.464105,0.125963,0.262551,0.149883,0.16032,0.196257,0.228946,0.091164,0.234073,1,0,0,0
90,'2019/05/28 21:03:42:635',1,0.973718,-0.01721,0.640879,0.273749,0.20959,-0.044548,0.242388,0.193104,0.311539,0.331937,0.31163,0.150783,0.245335,1,0,0,0
91,'2019/05/28 21:03:42:652',1,0.98026,0.140067,0.704896,0.412751,0.152122,-0.29077,0.104613,0.304306,0.212896,0.200051,0.248412,0.163709,0.205367,1,0,0,0
92,'2019/05/28 21:03:42:668',1,1.012609,0.259591,0.542875,0.249544,0.209553,0.010306,0.160459,0.165415,0.135062,0.233727,0.352074,0.069325,0.228014,1,0,0,0
93,'2019/05/28 21:03:42:684',1,0.967781,0.063487,0.778244,0.429183,0.290608,0.054424,0.181987,0.201912,0.125085,0.245715,0.199841,0.083479,0.118966,1,0,0,0
94,'2019/05/28 21:03:42:701',1,0.944188,0.01655,0.775641,0.213149,0.255643,0.152893,0.091288,0.168944,0.261736,0.141015,0.174469,0.107326,0.317633,1,0,0,0
95,'2019/05/28 21:03:42:718',1,0.959327,-0.023824,0.680731,0.374012,0.354526,0.140133,0.09017,0.231636,0.132574,0.091738,0.169535,0.254917,0.378934,1,0,0,0
96,'2019/05/28 21:03:42:735',1,0.987457,0.105582,0.615647,0.265784,0.181877,0.033853,0.096199,0.141037,0.07766,0.198303,0.293686,0.240401,0.216468,1,0,0,0
97,'2019/05/28 21:03:42:751',1,0.999612,0.179178,0.681102,0.296851,0.238785,0.091039,0.217964,0.402118,0.262958,-0.077563,0.090342,0.288942,0.101746,1,0,0,0
98,'2019/05/28 21:03:42:768',1,0.951921,0.160779,0.673814,0.178295,0.171767,-0.007887,0.104843,0.228188,0.219953,0.244213,0.233197,0.104733,0.258816,1,0,0,0
99,'2019/05/28 21:03:42:784',1,0.855436,0.058887,0.682392,0.360831,0.227986,-0.085087,-0.076858,0.183146,0.099197,0.266096,0.347468,0.203366,0.382509,1,0,0,0
